品牌,品类,类别,风格,档次
竹风台湾风味餐厅,餐饮,西餐,西餐正餐,中档
尚庆林自助美食超市,餐饮,中餐,火锅,中档
28煮意,餐饮,中餐,粤菜,中档
周记冒菜,餐饮,中餐,湘菜,中档
家有好面,餐饮,中餐,江浙,中档
瓯之味,餐饮,中餐,中式快餐,中档
老成都,餐饮,中餐,川菜,中档
南小馆,餐饮,中餐,粤菜,大众
可颂坊,餐饮,糕点小吃,/,大众
味食尚,餐饮,中餐,江浙,中档
栗品香,餐饮,糕点小吃,/,中档
莲香楼饼屋,餐饮,糕点小吃,/,中档
琳德烘焙,餐饮,糕点小吃,/,中档
鹭鹭小馆,餐饮,中餐,江浙,中档
王氏捞吧,餐饮,中餐,火锅,中档
鱼满塘,餐饮,中餐,湘菜,高档
尊尚食府班敦会,餐饮,中餐,粤菜,高档
爱盛面包店,餐饮,糕点小吃,/,大众
Bistrow,餐饮,西餐,西餐正餐,高档
Cafe Bene,餐饮,糕点小吃,/,中档
Candy,餐饮,糕点小吃,/,中档
cotton’s,餐饮,西餐,西餐正餐,高档
Deli&Leisure,餐饮,西餐,西餐正餐,中档
Hey YO!!,餐饮,糕点小吃,/,大众
ILLY,餐饮,糕点小吃,/,高档
Jade Garden,餐饮,中餐,粤菜,高档
macaronhome,餐饮,糕点小吃,/,高档
Pizza Marzano,餐饮,西餐,西餐正餐,中档
THE URBAN HARVEST,餐饮,西餐,西餐正餐,高档
wagas,餐饮,西餐,西餐正餐,高档
爱果果,餐饮,糕点小吃,/,大众
巴黎天使烘培公馆,餐饮,糕点小吃,/,高档
芭克闪冰,餐饮,糕点小吃,/,中档
宝山万达店,餐饮,中餐,火锅,高档
比利心思,餐饮,糕点小吃,/,中档
不出二品,餐饮,糕点小吃,/,大众
布歌东京,餐饮,糕点小吃,/,大众
徹思叔叔,餐饮,糕点小吃,/,大众
代官山,餐饮,西餐,西餐正餐,高档
鼎泰丰,餐饮,中餐,粤菜,中档
东方既白,餐饮,中餐,粤菜,中档
东西烧,餐饮,中餐,烧烤,中档
歌帝梵,餐饮,糕点小吃,/,高档
和米堂,餐饮,东南亚菜,/,中档
花之宴,餐饮,东南亚菜,/,中档
津粉世家,餐饮,中餐,中式快餐,大众
锦逸,餐饮,西餐,西餐正餐,高档
卡撒浓汤,餐饮,西餐,西餐正餐,中档
拉蒂娜,餐饮,西餐,西餐正餐,高档
辣尚瘾,餐饮,中餐,川菜,中档
老乡村,餐饮,中餐,湘菜,中档
乐意坊,餐饮,西餐,西餐正餐,高档
梁记,餐饮,中餐,中式快餐,大众
麻田会,餐饮,中餐,火锅,中档
马拉爸爸,餐饮,东南亚菜,/,中档
美珍香,餐饮,糕点小吃,/,中档
诺好事,餐饮,糕点小吃,/,高档
善苜村,餐饮,中餐,火锅,中档
上海老站,餐饮,中餐,江浙,高档
上韩馆,餐饮,中餐,西北,中档
上井精致,餐饮,东南亚菜,/,中档
尚品宫,餐饮,东南亚菜,/,中档
泰满冠,餐饮,东南亚菜,/,中档
糖果研究室,餐饮,糕点小吃,/,中档
甜蜜转身,餐饮,糕点小吃,/,高档
甜兮兮,餐饮,糕点小吃,/,中档
望湘园,餐饮,中餐,湘菜,中档
西龙纤味,餐饮,中餐,江浙,中档
仙芋传奇,餐饮,糕点小吃,/,大众
香溢培客,餐饮,西餐,西餐正餐,中档
新罗宝,餐饮,东南亚菜,/,中档
新元素,餐饮,西餐,西餐正餐,中档
宴江南,餐饮,中餐,粤菜,中档
